Artist,Track,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Stream,Has_youtube,Artist_LOO_stream,Likes_rate,Comments_rate,Mood_quadrant,Party_index,Key_factor,Licensed_video_combo
Mike Posner,I Took A Pill In Ibiza,album,0.637,0.318,-10.07,0.0716,0.622,1.58e-6,0.125,0.383,74.11,280800,1563356710,73572018,TRUE,47187275.5,0.005120796136155004,1.4746730450275805e-4,Sad/Melancholic,0.202566,10,Licensed_official
Ice Nine Kills,Assault & Batteries,album,0.265,0.93,-4.425,0.275,0.00133,0,0.327,0.451,159.145,208347,3021659,12203087,TRUE,17080266,0.021786707235991885,0.0012158883580178968,Anger/Unpleasant,0.24645000000000003,2,Unlicensed_official
Los Yonic's,Títere,album,0.49,0.479,-7.85,0.0306,0.824,5.23e-4,0.765,0.373,74.819,186027,32725,23691147,TRUE,27426053.5,0.011978609625668449,0.0010695187165775401,Sad/Melancholic,0.23470999999999997,11,Unlicensed_unofficial
Ivy Queen,Yo Perreo Sola - Remix,single,0.845,0.733,-6.037,0.0581,0.0147,1.57e-5,0.357,0.394,97.01,174028,13568781,46824798,TRUE,44521149,0.03343579648017018,0.0018933167246195514,Anger/Unpleasant,0.619385,11,Licensed_official
Ed Sheeran,Photograph,album,0.614,0.379,-10.48,0.0476,0.607,4.64e-4,0.0986,0.201,107.989,258987,1265617910,2067689483,TRUE,1281212023.5,0.0052510547989953775,1.3462909986790563e-4,Sad/Melancholic,0.232706,4,Licensed_official
Kirk Franklin,Imagine Me,album,0.632,0.717,-8.307,0.039,0.138,0.00149,0.0685,0.77,153.942,318840,50785213,21737305,TRUE,15545675,0.005254305027725295,1.6483144414497188e-4,Happy/Energetic,0.453144,0,Licensed_official
Nightcrawlers,Push The Feeling On - Mk Mix 95,single,0.818,0.499,-12.864,0.0487,0.00258,3.76e-4,0.156,0.486,123.032,425267,32896847,1176464,TRUE,1743780,0.012414259640141196,4.1389984882137795e-4,Sad/Melancholic,0.408182,11,Licensed_official
Aleman,Mírame Ma,album,0.797,0.53,-6.595,0.306,0.278,0,0.145,0.637,85.99,181925,9963087,51094074,TRUE,78746290,0.015507743734446964,2.0726507758087428e-4,Happy/Energetic,0.42241000000000006,10,Licensed_official
Céline Dion,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",album,0.463,0.4,-9.999,0.0308,0.643,2.46e-5,0.131,0.121,77.314,249240,50290642,120237932,TRUE,144288864,0.005914599380139152,3.213719164690719e-4,Sad/Melancholic,0.18520000000000003,6,Unlicensed_unofficial
Harshdeep Kaur,"High Rated Gabru 52 Non Stop Hits(Remix By Mandy Birgi,Birgi Veerz)",compilation,0.385,0.935,-2.545,0.259,0.0843,0,0.678,0.557,180.793,4676058,34624,12498196,TRUE,16461911,0.009357670979667283,2.888170055452865e-5,Happy/Energetic,0.35997500000000004,2,Licensed_official
Calum Scott,You Are The Reason - Duet Version,album,0.403,0.356,-7.547,0.0298,0.382,0,0.148,0.151,171.454,190760,510169071,206655633,TRUE,91048041.5,0.0056536571187005575,9.750493087026047e-5,Sad/Melancholic,0.143468,10,Licensed_official
ENHYPEN,ParadoXXX Invasion,single,0.727,0.863,-3.181,0.0879,0.0298,0,0.334,0.72,94.952,187490,22177418,24913902,TRUE,98512456.5,0.04740371489593604,0.0026268161604745873,Happy/Energetic,0.627401,1,Licensed_official
Nate Dogg,Nobody Does It Better,album,0.736,0.517,-9.775,0.053,0.416,0,0.138,0.116,92.048,270427,85998,33117711,TRUE,34975020,0.02193074257540873,8.953696597595293e-4,Anger/Unpleasant,0.380512,0,Unlicensed_unofficial
Ne-Yo,So Sick,album,0.452,0.574,-8.336,0.31,0.246,0,0.189,0.58,92.791,207187,297730894,619091362,TRUE,199277270.5,0.004997455856898747,1.5133800659598327e-4,Happy/Energetic,0.259448,6,Licensed_official
Jaden,On My Own,album,0.344,0.843,-3.711,0.0422,0.0214,0.00345,0.189,0.219,97.5,244720,10982170,67716092,TRUE,92420782,0.018335447366048786,7.298193344302628e-4,Anger/Unpleasant,0.28999199999999997,1,Unlicensed_official
Nekfeu,Dans l'univers,album,0.64,0.419,-9.962,0.168,0.326,2.71e-4,0.137,0.202,131.936,244320,14162191,90908477,TRUE,46492767.5,0.006742953826847837,8.748646307622881e-5,Sad/Melancholic,0.26816,11,Unlicensed_unofficial
Fugees,Zealots,album,0.53,0.45,-14.975,0.489,0.196,2.62e-6,0.147,0.339,77.887,260547,440124,30918066,TRUE,33975316.5,0.013268987830702256,3.7716643491379705e-4,Sad/Melancholic,0.23850000000000002,5,Licensed_official
The Chainsmokers,Roses,single,0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,139712325,931716440,TRUE,559706787.5,0.005363814538194823,1.0102186761261041e-4,Anger/Unpleasant,0.5718260000000001,4,Licensed_official
The Lumineers,Flowers in Your Hair,album,0.67,0.609,-10.088,0.0333,0.749,6.74e-5,0.227,0.573,127.463,109736,10546336,38103223,TRUE,353447131,0.0035673052707594372,7.917441659359232e-5,Happy/Energetic,0.40803,7,Licensed_official
Warren G,Yo Sassy Ways,album,0.851,0.809,-4.951,0.0696,0.081,0.00764,0.107,0.447,95.068,238133,63653,6915065,TRUE,18502630.5,0.01776821202457072,3.9275446561827407e-4,Anger/Unpleasant,0.688459,4,Unlicensed_unofficial
Sheryl Crow,Roll Me Up and Smoke Me When I Die - Live,compilation,0.427,0.813,-9.02,0.0737,0.0713,0.109,0.873,0.344,106.859,134267,8726132,9999321,TRUE,34658510,0.006680508614813528,1.9000400177306509e-4,Anger/Unpleasant,0.347151,0,Licensed_official
Chief Keef,Save That Shit,album,0.545,0.826,-4.651,0.0491,0.138,0,0.338,0.487,140.02,213238,42368,31937174,TRUE,63782772,0.017725641993957705,5.428625377643505e-4,Anger/Unpleasant,0.45017,1,Unlicensed_unofficial
SDM,NEYMAR JR,album,0.767,0.549,-7.721,0.0635,0.285,0,0.268,0.83,142.971,165293,4566124,17840713,TRUE,12973334,0.011353392943336624,1.7126122724656624e-4,Happy/Energetic,0.42108300000000004,0,Licensed_official
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",single,0.778,0.632,-5.6,0.0493,0.274,0,0.0915,0.498,122.104,218289,252068988,196761853,TRUE,224913188,0.03735353592961622,0.002085421154624543,Anger/Unpleasant,0.491696,2,Licensed_official
Diljit Dosanjh,Lover,album,0.827,0.587,-5.531,0.113,0.203,0,0.0727,0.774,119.936,190000,98924837,68608492,TRUE,37951368,0.008803178518252196,3.012691342620054e-4,Happy/Energetic,0.48544899999999996,9,Licensed_official
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),album,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996,324307,295026831,227592322,TRUE,27414643,0.0075004669660028314,1.1159324014160597e-4,Happy/Energetic,0.49183200000000005,6,Licensed_official
